BLDG_NAME,GID,Building Model Link
COORS EVENTS/CONFERENCE CENTER,9124,https://3dwarehouse.sketchup.com/model/48d7bab8555eaaa6b5ba49b321de873b/Coors-Event-Center
KOELBEL BUILDING - LEEDS SCH OF BUS,9224,https://3dwarehouse.sketchup.com/model/7eb39a049332bf0343579c44bed22c23/Leeds-School-of-Business-University-of-Colorado-Boulder
HALLETT HALL,9223,https://3dwarehouse.sketchup.com/model/fee0dabbc15cca3657585f5801e8b5d8/Model-of-Hallett-Hall-The-University-of-Colorado-Boulder
CENTER FOR COMMUNITY,115954,https://3dwarehouse.sketchup.com/model/613db1cb6e31ff13ac56c7b46c3f7da/Norlin-Library-CU-Boulder
FARRAND HALL,9217,https://3dwarehouse.sketchup.com/model/9a5a6b536150459b2e21e1fd044bf33f/Farrand-Hall-University-of-Colorado-Boulder
WILLARD HALL,9216,https://3dwarehouse.sketchup.com/model/21d1aa5bba2103dbf0f90377e42aeb0f/Model-of-the-Willard-Administrative-Center-The-University-of-Colorado-Boulder
REGENT ADMINISTRATIVE CENTER,9215,https://3dwarehouse.sketchup.com/model/ee319b39d08cb9335e32839f85525460/Regent-Administrative-Center-University-of-Colorado-Boulder
CHEYENNE ARAPAHO HALL,9214,https://3dwarehouse.sketchup.com/model/7faab4be84e7228259030d1a8051df2e/Cheyenne-Arapaho-Hall-University-of-Colorado-Boulder
WARDENBURG STUDENT HEALTH CTR,9213,https://3dwarehouse.sketchup.com/model/82488f58f4a9eb5791252d7a8a642f2/Wardeburg-Health-Center-University-of-Colorado-Boulder
LIBBY HALL,9252,https://3dwarehouse.sketchup.com/model/fac7153094cf9cffb26000f863313106/Model-of-Libby-Hall-University-of-Colorado-Boulder
BAKER HALL,9251,https://3dwarehouse.sketchup.com/model/17b43e9c185c6b713ef92424bfba449e/Baker-Hall-University-of-Colorado-Boulder
JILA,9401,https://3dwarehouse.sketchup.com/model/9d3375893841d2c81ca3f9e47627b227/Duane-Physics-University-of-Colorado-Boulder
ENVIRONMENTAL DESIGN BLDG,9247,https://3dwarehouse.sketchup.com/model/a24a4608129fff75f1565b9fb5420816/Model-of-the-ENVD-Building
IMIG MUSIC BLDG,9250,https://3dwarehouse.sketchup.com/model/72652b3d21350a69520e93f2852a114c/IMIG-Music-Building-College-of-Music-University-of-Colorado-Boulder